Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,关键词分类
iphone 安装 chatgpt,41,41,40,19,0.0,https://chatgptboke.com/ios-app-launch-announcement.html,0,0.0,0.0,0.0,0,"[81,36,18,36,18,18,18,18,36,100,18,18]",2025-07-29,"Video, Related searches","commercial, informational",Organic,3.下载安装
chatgpt 安装 包,26,19,90,43,0.0,https://chatgptboke.com/android-app-launch-announcement.html,0,0.0,0.0,0.0,90,"[29,29,29,41,64,100,64,64,41,41,41,64]",2025-08-16,"Video, Related searches",transactional,Organic,3.下载安装
chatgpt 安装 包,30,24,90,43,0.0,https://chatgptboke.com/tag/chatgpt%E5%AE%89%E5%8D%93%E5%AE%89%E8%A3%85%E5%8C%85,0,0.0,0.0,0.0,90,"[29,29,29,41,64,100,64,64,41,41,41,64]",2025-08-16,"Video, Related searches",transactional,Organic,3.下载安装
chatgpt apk 安装 包,19,19,70,37,0.0,https://chatgptboke.com/tag/chatgpt%E5%AE%89%E5%8D%93%E5%AE%89%E8%A3%85%E5%8C%85,0,0.0,0.0,0.0,66,"[100,36,36,36,63,81,63,63,81,27,45,27]",2025-07-18,"Sitelinks, Reviews, Related searches",transactional,Organic,3.下载安装
国内安卓手机用chatgpt,54,54,170,20,0.0,https://chatgptboke.com/android-app-launch-announcement.html,0,0.0,0.0,0.0,6060000,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-07-28,"Video, Related searches","commercial, informational",Organic,3.下载安装
chatgpt ios 下载,20,20,40,20,0.0,https://chatgptboke.com/ios-app-launch-announcement.html,0,0.0,0.0,0.07,7080000,"[50,14,50,14,14,100,14,28,14,14,14,14]",2025-07-27,"Video, Related searches","commercial, informational",Organic,3.下载安装
chatgpt ios 安装 包,44,44,70,20,0.0,https://chatgptboke.com/ios-app-launch-announcement.html,0,0.0,0.0,0.02,78,"[1,1,13,1,16,16,1,1,1,1,1,1]",2025-08-08,"Video, Related searches",informational,Organic,3.下载安装
openai apk下载,45,45,40,41,0.0,https://chatgptboke.com/android-app-launch-announcement.html,0,0.0,0.0,0.0,99,"[0,0,52,0,100,41,23,11,11,11,0,0]",2025-07-28,"Sitelinks, Related searches","commercial, informational",Organic,3.下载安装
chatgpt app something went wrong 怎么 解决,35,35,40,20,0.0,https://chatgptboke.com/chatgpt-oops-something-went-wrong-there-could-be-a-misconfiguration-in-the-system-or-a-service-outage.html,0,0.0,0.0,0.0,48,"[11,11,52,11,11,100,11,11,11,11,11,0]",2025-07-27,"Video, Featured snippet, Related searches",informational,Organic,3.下载安装
chatgpt下载安卓,75,75,210,42,0.0,https://chatgptboke.com/android-app-launch-announcement.html,0,0.0,0.0,0.0,4890000,"[23,29,54,54,44,100,23,12,9,19,4,1]",2025-08-12,"Video, Related searches",transactional,Organic,3.下载安装
